city;federal_district;region_fo;id
Биробиджан;Дальневосточный;Еврейская Аобл;5d133391-46ee-496b-83a6-efeeaa903643
Бирск;Приволжский;Башкортостан Респ;8c049a5c-f080-4052-93a9-89decf401900
Бирюсинск;Сибирский;Иркутская обл;5b646190-2037-409f-bf0f-6fb8194a0581
Бирюч;Центральный;Белгородская обл;eaaf5809-d1e2-4d93-8f05-85dd598cc403
Благовещенск;Дальневосточный;Амурская обл;8f41253d-6e3b-48a9-842a-25ba894bd093
Благодарный;Северо-Кавказский;Ставропольский край;0e527607-a1cd-462c-9b85-f33ddea64ad0
Бобров;Центральный;Воронежская обл;0a50bda2-e801-4e11-bcc0-8c6469d46a5d
Богданович;Уральский;Свердловская обл;0c5ca223-c100-4d91-b89b-33a59ba2dc69
Богородицк;Центральный;Тульская обл;e80009cb-c8c9-4dda-90cb-082b6e0d5d8c
Богородск;Приволжский;Нижегородская обл;17962cbc-48c7-43d4-b174-c35485d114e7
Боготол;Сибирский;Красноярский край;cb56cf76-4a34-428d-8244-a802414d5fac
Богучар;Центральный;Воронежская обл;33b88f52-819d-4ba5-aa70-3fe4ccfd33d6
Бодайбо;Сибирский;Иркутская обл;8ace6ae4-7a35-494a-bfbd-9a743a929c39
Бокситогорск;Северо-Западный;Ленинградская обл;1a12dc30-ca4c-480f-89dd-31452648b493
Болгар;Приволжский;Татарстан Респ;724d41e3-f0ac-4254-a207-897ea3d42076
Бологое;Центральный;Тверская обл;01fecded-f136-4c58-986b-2eef124c8290
Болотное;Сибирский;Новосибирская обл;7e18e6d0-f7e1-4ada-a845-cc7ab5431a1a
Болохово;Центральный;Тульская обл;0e4f8d4e-bc37-4c6e-b46f-a448a0bcb84a
Болхов;Центральный;Орловская обл;4393f437-1a48-4083-bed9-ad3382fdad16
Большой Камень;Дальневосточный;Приморский край;1315186b-9ae8-4f92-b3a5-1db055c15358
Борзя;Дальневосточный;Забайкальский край;d4b135b9-4504-4bae-8585-da058d350f58
Борисоглебск;Центральный;Воронежская обл;e5c49f70-5235-49ef-a16b-816114b36566
Боровичи;Северо-Западный;Новгородская обл;ae2f372e-7df2-400c-95f9-4b0522567634
